config,rank,peak_mem_mean_mb,peak_mem_std_mb,stage_time_mean_ms,stage_time_std_ms
even,0,5322.54296875,0.0,104.57629216194152,42.19338142264051
even,1,5225.79296875,0.0,93.74807611783346,38.02897017863073
even,2,5225.79296875,0.0,93.52703029632569,38.07599232004673
even,3,5322.16748046875,0.0,94.07334614753722,38.128729092752465
uneven,0,9936.54296875,0.0,213.17806844711308,68.19651689510626
uneven,1,3687.79296875,0.0,62.88934283892314,25.393006216668287
uneven,2,3687.79296875,0.0,63.33775403658549,25.344047551479857
uneven,3,3784.16748046875,0.0,65.05466778119406,23.08484938151185
